7985;27.02.20 15:00:23;10;Repair_strategy;force > max. force (8);
Envelope-Pos-Up;Envelop-Force-Up;Chart-Pos;Chart-Force;Envelope-Pos-Low;Envelope-Force-Low;
0,00;0,00;158,86;2,23;0,00;0,00;
0,00;0,00;158,96;2,23;0,00;0,00;
0,00;0,00;159,05;2,24;0,00;0,00;
0,00;0,00;159,15;2,27;0,00;0,00;
0,00;0,00;159,25;2,26;0,00;0,00;
0,00;0,00;159,34;2,27;0,00;0,00;
0,00;0,00;159,44;2,29;0,00;0,00;
0,00;0,00;159,54;2,26;0,00;0,00;
0,00;0,00;159,63;2,27;0,00;0,00;
0,00;0,00;159,73;2,28;0,00;0,00;
0,00;0,00;159,82;2,27;0,00;0,00;
0,00;0,00;159,92;2,27;0,00;0,00;
0,00;0,00;160,02;2,28;0,00;0,00;
0,00;0,00;160,11;2,27;0,00;0,00;
0,00;0,00;160,21;2,26;0,00;0,00;
0,00;0,00;160,30;2,26;0,00;0,00;
0,00;0,00;160,40;2,62;0,00;0,00;
0,00;0,00;160,47;4,66;0,00;0,00;
0,00;0,00;160,54;6,96;0,00;0,00;
0,00;0,00;160,62;9,50;0,00;0,00;
0,00;0,00;160,69;11,93;0,00;0,00;
0,00;0,00;160,70;12,26;0,00;0,00;
0,00;0,00;160,72;12,78;0,00;0,00;
0,00;0,00;160,73;13,07;0,00;0,00;
0,00;0,00;160,74;13,28;0,00;0,00;
0,00;0,00;160,74;13,45;0,00;0,00;
0,00;0,00;160,75;13,58;0,00;0,00;
0,00;0,00;160,75;13,66;0,00;0,00;
0,00;0,00;160,75;13,72;0,00;0,00;
0,00;0,00;160,75;13,76;0,00;0,00;
0,00;0,00;160,75;13,78;0,00;0,00;
0,00;0,00;160,75;13,79;0,00;0,00;
0,00;0,00;160,76;13,80;0,00;0,00;
0,00;0,00;160,76;13,81;0,00;0,00;
